task_id,description,region,start_date,end_date,image_count,phase,export_type,timestamp,scale_m,crs,dtype,bands
2W5GD5BZSEVDHHU55KO2GWML,MON_Hasdeo_Full_2016_10_rapid_exp,Hasdeo_Full,2016-10-01,2016-11-01,2,rapid_exp,drive,2026-02-20T18:18:27.878857,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
LULL6Z4EGYISJI4L5WQ5TYLC,MON_Hasdeo_Full_2016_11_rapid_exp,Hasdeo_Full,2016-11-01,2016-12-01,1,rapid_exp,drive,2026-02-20T18:18:29.447138,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
MQDL4BB3BMAMLUL5NEXSYNHD,MON_Hasdeo_Full_2017_01_rapid_exp,Hasdeo_Full,2017-01-01,2017-02-01,4,rapid_exp,drive,2026-02-20T18:18:32.620063,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
HVETGDYWLZGIOPHTYKSBVGHK,MON_Hasdeo_Full_2017_02_rapid_exp,Hasdeo_Full,2017-02-01,2017-03-01,2,rapid_exp,drive,2026-02-20T18:18:34.340178,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
XFYGMFEX5RKFB7WGL3PZOSNM,MON_Hasdeo_Full_2017_03_rapid_exp,Hasdeo_Full,2017-03-01,2017-04-01,4,rapid_exp,drive,2026-02-20T18:18:35.937358,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
EDS4FS53DAKZOEDOQ3RUL5YZ,MON_Hasdeo_Full_2017_11_rapid_exp,Hasdeo_Full,2017-11-01,2017-12-01,1,rapid_exp,drive,2026-02-20T18:18:43.576132,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
OP7ZHACMODGVCHA2SKC4BXRG,MON_Hasdeo_Full_2017_12_rapid_exp,Hasdeo_Full,2017-12-01,2018-01-01,7,rapid_exp,drive,2026-02-20T18:18:45.025665,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
HDAK2TWMQS3HYNWJPVBU5NPU,MON_Hasdeo_Full_2018_01_rapid_exp,Hasdeo_Full,2018-01-01,2018-02-01,5,rapid_exp,drive,2026-02-20T18:18:47.569421,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
5NR7QSOMZL74YB6A6JRYAC2C,MON_Hasdeo_Full_2018_02_rapid_exp,Hasdeo_Full,2018-02-01,2018-03-01,1,rapid_exp,drive,2026-02-20T18:18:50.226567,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
32NT5ARMPCMIEQZRJJMRU3Z4,MON_Hasdeo_Full_2018_03_rapid_exp,Hasdeo_Full,2018-03-01,2018-04-01,3,rapid_exp,drive,2026-02-20T18:18:53.096146,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
